Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2002,126942,Community College of Denver,00954200,1,Community College of Denver,7924,0,0,0
2002,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),19413,1,1,0
2002,127653,Naropa University,02117500,1,Arapahoe Campus,1120,0,0,0
2002,127918,Regis University,00136300,1,Northwest Denver Campus,11447,0,0,0
2002,126614,University of Colorado Boulder,00137000,1,Main Campus,31415,2,0,14
2002,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8340,0,0,0
2002,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,15596,0,0,0
2002,127060,University of Denver,00137100,1,University Park Campus,9229,0,0,0
2002,127741,University of Northern Colorado,00134900,1,Main Campus,12434,0,0,3
2003,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,1580,0,0,0
2003,126678,Colorado College,00134700,1,Colorado College,1968,0,0,0
2003,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,5765,0,0,0
2003,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6247,0,0,0
2003,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2242,0,0,0
2003,126775,Colorado School of Mines,00134800,1,Main Campus,4050,0,0,2
2003,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28186,0,0,0
2003,126863,Community College of Aurora,02276900,1,CentreTech Campus,5521,0,0,0
2003,127185,Fort Lewis College,00135300,1,Main Campus,4182,0,0,0
2003,127200,Front Range Community College,00793300,2,Larimer Campus,15301,0,0,0
2003,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),20261,0,1,0
2003,127653,Naropa University,02117500,1,Arapahoe Campus,1423,0,0,0
2003,127918,Regis University,00136300,1,Northwest Denver Campus,11583,0,0,0
2003,126915,Technical College of the Rockies,02156200,1,Main Campus,1223,0,0,0
2003,126614,University of Colorado Boulder,00137000,1,Main Campus,32423,0,1,15
2003,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8712,0,0,0
2003,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,15746,0,1,0
2003,127060,University of Denver,00137100,1,University Park Campus,9521,0,0,0
2003,127741,University of Northern Colorado,00134900,1,Main Campus,13204,0,1,4
2003,128391,Western Colorado University,00137200,1,Main Campus,2410,0,0,0
2004,126678,Colorado College,00134700,1,Colorado College,2044,0,0,0
2004,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6235,0,0,0
2004,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6361,0,0,0
2004,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2201,0,0,0
2004,126775,Colorado School of Mines,00134800,1,Main Campus,4101,0,0,3
2004,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27973,0,0,0
2004,127185,Fort Lewis College,00135300,1,Main Campus,4194,0,3,0
2004,127200,Front Range Community College,00793300,2,Larimer Campus,15669,0,0,0
2004,128179,Intellitec College-Colorado Springs,02253700,1,IntelliTec College - Colorado Springs,613,0,0,0
2004,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),20761,0,0,0
2004,127653,Naropa University,02117500,1,Arapahoe Campus,1232,0,0,0
2004,128151,Pickens Technical College,01287500,1,Pickens Technical College,739,0,0,0
2004,127918,Regis University,00136300,1,Northwest Denver Campus,11801,0,0,0
2004,128258,Trinidad State College,00136800,1,Trinidad Campus,2106,0,0,0
2004,126614,University of Colorado Boulder,00137000,1,Main Campus,32362,0,0,4
2004,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9039,0,0,0
2004,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,16610,0,0,0
2004,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,16610,0,0,0
2004,127060,University of Denver,00137100,1,University Park Campus,9808,0,0,0
2004,127741,University of Northern Colorado,00134900,1,Main Campus,13156,0,1,0
2004,128391,Western Colorado University,00137200,1,Main Campus,2301,0,0,0
2005,126678,Colorado College,00134700,1,Colorado College,2016,0,0,0
2005,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6062,0,0,0
2005,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,6062,0,0,0
2005,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5682,0,0,0
2005,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1518,0,0,6
2005,126775,Colorado School of Mines,00134800,1,Main Campus,4318,0,0,3
2005,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27780,0,0,0
2005,127185,Fort Lewis College,00135300,1,Main Campus,3946,0,1,0
2005,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),21010,0,0,0
2005,127653,Naropa University,02117500,1,Arapahoe Campus,1222,0,0,0
2005,128151,Pickens Technical College,01287500,1,Pickens Technical College,656,0,0,0
2005,127918,Regis University,00136300,1,Northwest Denver Campus,11566,0,0,0
2005,128258,Trinidad State College,00136800,1,Trinidad Campus,1831,0,0,0
2005,126614,University of Colorado Boulder,00137000,1,Main Campus,31589,0,0,4
