Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2003,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2242,0,0,0,,,0,,,0,0,0,0,0
2003,126775,Colorado School of Mines,00134800,1,Main Campus,4050,0,0,0,,,0,,,0,0,0,1,0
2003,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5835,0,0,2,,,0,,,0,1,2,0,0
2003,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28186,0,0,2,,,0,,,0,4,3,5,2
2003,126979,Denver Seminary,00135200,1,Main Campus,706,0,0,0,,,0,,,0,0,0,0,0
2003,127185,Fort Lewis College,00135300,1,Main Campus,4182,0,0,4,,,0,,,0,0,17,0,0
2003,127273,Iliff School of Theology,00135400,1,Main Campus,346,0,0,0,,,0,,,0,0,2,0,0
2003,127389,Lamar Community College,00135500,1,Lamar Community College,1091,0,0,0,,,0,,,0,0,0,0,0
2003,127653,Naropa University,02117500,1,Arapahoe Campus,1423,0,0,0,,,0,,,0,0,0,0,0
2003,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),3077,0,0,0,,,0,,,0,0,8,0,0
2003,127778,Otero Junior College,00136200,1,Main Campus,1650,0,0,0,,,0,,,0,0,1,0,0
2003,127918,Regis University,00136300,1,Northwest Denver Campus,11583,0,0,0,,,0,,,0,0,3,0,0
2003,128258,Trinidad State College,00136800,1,Trinidad Campus,2022,0,0,0,,,0,,,0,0,2,0,0
2003,126614,University of Colorado Boulder,00137000,1,Main Campus,32423,0,0,11,,,0,,,1,5,41,4,4
2003,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8712,0,0,2,,,0,,,0,0,0,0,0
2003,127060,University of Denver,00137100,1,University Park Campus,9521,0,0,5,,,0,,,0,0,28,0,4
2003,127741,University of Northern Colorado,00134900,1,Main Campus,13204,0,0,1,,,0,,,1,1,16,4,1
2003,128391,Western Colorado University,00137200,1,Main Campus,2410,0,0,0,,,0,,,0,0,12,0,3
2004,126182,Adams State University,00134500,1,Adams State University,8954,0,0,0,,,0,,,0,2,7,0,0
