Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2006,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6205,0,4,9
2006,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27636,0,35,61
2006,126979,Denver Seminary,00135200,1,Main Campus,826,0,0,0
2006,127185,Fort Lewis College,00135300,1,Main Campus,3905,0,15,91
2006,127273,Iliff School of Theology,00135400,1,Main Campus,317,0,0,0
2006,127389,Lamar Community College,00135500,1,Lamar Community College,999,0,0,0
2006,127653,Naropa University,02117500,1,Arapahoe Campus,1107,0,0,0
2006,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2537,1,3,32
2006,127778,Otero Junior College,00136200,1,Main Campus,1631,0,1,17
2006,127918,Regis University,00136300,1,Northwest Denver Campus,11388,0,0,1
2006,128258,Trinidad State College,00136800,1,Trinidad Campus,1732,1,0,2
2006,126614,University of Colorado Boulder,00137000,1,Main Campus,31665,2,41,191
2006,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8647,0,21,117
2006,127060,University of Denver,00137100,1,University Park Campus,10791,0,1,1
2006,127741,University of Northern Colorado,00134900,1,Main Campus,13363,1,52,89
2006,128391,Western Colorado University,00137200,1,Main Campus,2198,0,40,11
2007,126182,Adams State University,00134500,1,Adams State University,2830,0,16,16
2007,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2151,0,0,0
2007,126678,Colorado College,00134700,1,Colorado College,2075,0,0,0
2007,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6199,0,18,12
2007,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5206,0,5,9
2007,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1430,0,0,0
2007,126775,Colorado School of Mines,00134800,1,Main Campus,4560,0,1,9
2007,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5908,1,5,50
2007,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27569,1,22,51
2007,126979,Denver Seminary,00135200,1,Main Campus,858,0,0,0
2007,127185,Fort Lewis College,00135300,1,Main Campus,3928,0,22,73
2007,127273,Iliff School of Theology,00135400,1,Main Campus,199,0,0,0
2007,127389,Lamar Community College,00135500,1,Lamar Community College,817,0,0,0
2007,127653,Naropa University,02117500,1,Arapahoe Campus,1104,0,0,0
2007,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2751,0,4,17
2007,127778,Otero Junior College,00136200,1,Main Campus,1558,0,1,32
2007,127918,Regis University,00136300,1,Northwest Denver Campus,11238,0,3,51
2007,128258,Trinidad State College,00136800,1,Trinidad Campus,1760,1,0,2
2007,126614,University of Colorado Boulder,00137000,1,Main Campus,31796,2,32,221
2007,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8660,0,4,67
2007,127060,University of Denver,00137100,1,University Park Campus,11053,0,0,0
2007,127741,University of Northern Colorado,00134900,1,Main Campus,12702,0,46,110
2007,128391,Western Colorado University,00137200,1,Main Campus,2146,0,19,5
2008,126182,Adams State University,00134500,1,Adams State University,2920,0,23,14
2008,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2599,0,0,0
2008,126678,Colorado College,00134700,1,Colorado College,2026,0,0,1
2008,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6262,0,20,12
2008,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5092,0,2,2
2008,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1383,0,0,0
2008,126775,Colorado School of Mines,00134800,1,Main Campus,4704,0,3,16
2008,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6759,0,4,27
2008,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28882,0,16,55
2008,126979,Denver Seminary,00135200,1,Main Campus,880,0,0,0
2008,127185,Fort Lewis College,00135300,1,Main Campus,3740,0,33,71
2008,127273,Iliff School of Theology,00135400,1,Main Campus,194,0,0,0
2008,127389,Lamar Community College,00135500,1,Lamar Community College,1138,0,0,0
2008,127653,Naropa University,02117500,1,Arapahoe Campus,1075,0,0,0
2008,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2698,0,2,27
2008,127778,Otero Junior College,00136200,1,Main Campus,1551,0,0,24
2008,127918,Regis University,00136300,1,Northwest Denver Campus,11040,0,9,54
2008,128258,Trinidad State College,00136800,1,Trinidad Campus,1740,0,0,0
2008,126614,University of Colorado Boulder,00137000,1,Main Campus,32469,4,48,240
2008,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9373,1,29,52
2008,127060,University of Denver,00137100,1,University Park Campus,11328,0,4,7
2008,127741,University of Northern Colorado,00134900,1,Main Campus,12498,0,80,93
2008,128391,Western Colorado University,00137200,1,Main Campus,2315,0,17,11
2009,126182,Adams State University,00134500,1,Adams State University,3121,0,23,15
2009,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2511,0,0,0
2009,126678,Colorado College,00134700,1,Colorado College,2032,0,0,1
2009,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,7042,0,35,13
2009,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5741,0,4,0
